407D,Inward 3 1/2 Somersault Free,3.8
412B,Inward Flying 1 Somersault Pike,2.1
412C,Inward Flying 1 Somersault Tuck,2
413B,Inward Flying 1 1/2 Somersault Pike,2.9
413C,Inward Flying 1 1/2 Somersault Tuck,2.7
5111A,Forward Dive 1/2 Twist Straight,1.8
5111B,Forward Dive 1/2 Twist Pike,1.7
5111C,Forward Dive 1/2 Twist Tuck,1.6
5112A,Forward Dive 1 Twist Straight,2
5112B,Forward Dive 1 Twist Pike,1.9
5121D,Forward 1 Somersault 1/2 Twist Free,1.7
5122D,Forward 1 Somersault 1 Twist Free,1.9
5123D,Forward 1 Somersault 1 1/2 Twist Free,2.1
5124D,Forward 1 Somersault 2 Twist Free,2.3
5126D,Forward 1 Somersault 3 Twist Free,2.8
5131D,Forward 1 1/2 Somersault 1/2 Twist Free,2
5132D,Forward 1 1/2 Somersault 1 Twist Free,2.2
5134D,Forward 1 1/2 Somersault 2 Twist Free,2.6
5136D,Forward 1 1/2 Somersault 3 Twist Free,3.1
5138D,Forward 1 1/2 Somersault 4 Twist Free,3.5
5141A,Forward 2 Somersault 1/2 Twist Straight,2.8
5141B,Forward 2 Somersault 1/2 Twist Pike,2.5
5141C,Forward 2 Somersault 1/2 Twist Tuck,2.4
5142B,Forward 2 Somersault 1 Twist Pike,2.7
5142C,Forward 2 Somersault 1 Twist Tuck,2.6
5143B,Forward 2 Somersault 1 1/2 Twist Pike,2.9
5144B,Forward 2 Somersault 2 Twist Pike,3.1
5151B,Forward 2 1/2 Somersault 1/2 Twist Pike,3
5151C,Forward 2 1/2 Somersault 1/2 Twist Tuck,2.8
5152B,Forward 2 1/2 Somersault 1 Twist Pike,3.2
5152C,Forward 2 1/2 Somersault 1 Twist Tuck,3
5154B,Forward 2 1/2 Somersault 2 Twist Pike,3.6
5154C,Forward 2 1/2 Somersault 2 Twist Tuck,3.4
5156B,Forward 2 1/2 Somersault 3 Twist Pike,4.1
5211A,Back Dive 1/2 Twist Straight,1.8
5211B,Back Dive 1/2 Twist Pike,1.7
5211C,Back Dive 1/2 Twist Tuck,1.6
5212A,Back Dive 1 Twist Straight,2
5213A,Back Dive 1 1/2 Twist Straight,2.4
5221D,Back 1 Somersault 1/2 Twist Free,1.7
5222D,Back 1 Somersault 1 Twist Free,1.9
5223D,Back 1 Somersault 1 1/2 Twist Free,2.3
5224D,Back 1 Somersault 2 Twist Free,2.3
5225D,Back 1 Somersault 2 1/2 Twist Free,2.7
5227D,Back 1 Somersault 3 1/2 Twist Free,3.2
5231D,Back 1 1/2 Somersault 1/2 Twist Free,2.1
5233D,Back 1 1/2 Somersault 1 1/2 Twist Free,2.5
5235D,Back 1 1/2 Somersault 2 1/2 Twist Free,2.9
5237D,Back 1 1/2 Somersault 3 1/2 Twist Free,3.4
5241C,Back 2 Somersault 1/2 Twist Tuck,2.6
5251B,Back 2 1/2 Somersault 1/2 Twist Pike,2.9
5251C,Back 2 1/2 Somersault 1/2 Twist Tuck,2.7
5252B,Back 2 1/2 Somersault 1 Twist Pike,3.3
5311A,Reverse Dive 1/2 Twist Straight,1.9
5311B,Reverse Dive 1/2 Twist Pike,1.8
5311C,Reverse Dive 1/2 Twist Tuck,1.7
5312A,Reverse Dive 1 Twist Straight,2.1
5313A,Reverse Dive 1 1/2 Twist Straight,2.5
5321D,Reverse 1 Somersault 1/2 Twist Free,1.8
5322D,Reverse 1 Somersault 1 Twist Free,2
5323D,Reverse 1 Somersault 1 1/2 Twist Free,2.4
5324D,Reverse 1 Somersault 2 Twist Free,2.4
5325D,Reverse 1 Somersault 2 1/2 Twist Free,2.8
5327D,Reverse 1 Somersault 3 1/2 Twist Free,3.4
5331D,Reverse 1 1/2 Somersault 1/2 Twist Free,2.2
5333D,Reverse 1 1/2 Somersault 1 1/2 Twist Free,2.6
5335D,Reverse 1 1/2 Somersault 2 1/2 Twist Free,3
5337D,Reverse 1 1/2 Somersault 3 1/2 Twist Free,3.6
5342C,Reverse 2 Somersault 1 Twist Tuck,2.7
5351B,Reverse 2 1/2 Somersault 1/2 Twist Pike,2.9
5351C,Reverse 2 1/2 Somersault 1/2 Twist Tuck,2.7
5353B,Reverse 2 1/2 Somersault 1 1/2 Twist Pike,3.5
